Title Name,View Count,Like Count,Tags,Category
Visual identity. Branding.,6845,933,"Logo', 'Package', 'Motion Graphics', 'Product', 'Character'",Environmental Design
Thomas Edisons Invention Factory,5997,224,"Comic Book', 'Character', 'Poster', 'Illustration', 'Branding', 'Social Media', 'Package'",Logo Design
Hellorep.ai onboarding experience,1510,1080,"Web Design', 'Character', 'Magazine', 'Motion Graphics', 'Illustration', 'Logo', 'Animation'",Vehicle Wrap Design
3D Composition,739,930,"Illustration', 'Package', 'Character', 'Magazine', 'Branding', 'Motion Graphics'",Brand Identity Design
3D Composition,4647,384,"Comic Book', 'Typography', 'Web Design', 'Magazine'",Illustration
Medical service - Mobile app,9456,474,"Logo', 'UI/UX', 'Motion Graphics', 'Poster'",Motion Graphics
Blent | Case Study,6603,1722,"Magazine', 'Character', 'Logo', 'Poster'",Motion Graphics
Visual identity. Branding.,1644,769,"Poster', 'Web Design', 'Magazine'",Signage Design
Thomas Edisons Invention Factory,9940,722,"Character', 'Package', 'Illustration', 'Web Design'",Environmental Design
Blent | Case Study,8031,929,"Poster', 'UI/UX', 'Package'",Environmental Design
Logo Update for Web3 Platform (Unused for Sale),5728,147,"Illustration', 'Web Design', 'Branding', 'UI/UX'",User Interface Design
News Website Design Concept,3969,1132,"Comic Book', 'UI/UX', 'Typography'",Signage Design
Letter.co Branding,3974,1823,"Social Media', 'Branding', 'Typography', 'Poster', 'Illustration', 'Comic Book', 'Package'",User Interface Design
Cryptomate: Wallet App design,5709,1687,"Character', 'Poster', 'Magazine'",Vehicle Wrap Design
Visual identity. Branding.,7794,127,"Branding', 'Product', 'Motion Graphics', 'UI/UX', 'Magazine', 'Web Design'",Environmental Design
News Website Design Concept,1154,1526,"Logo', 'Package', 'Character', 'Social Media', 'Poster', 'Animation', 'Illustration'",Animation
Brainwave AI UI Kit - Add New List Modal,3056,142,"Logo', 'Package', 'Web Design', 'Typography'",Package Design
Letter.co Branding,4693,866,"Social Media', 'Web Design', 'Comic Book', 'Product', 'Magazine', 'UI/UX'",Signage Design
illustration animation,1361,1892,"Comic Book', 'Magazine', 'Package', 'Character'",Product Label Design
illustration animation,3444,1138,"Motion Graphics', 'Magazine', 'Package'",Motion Graphics
Hellorep.ai onboarding experience,1242,1207,"Social Media', 'UI/UX', 'Poster', 'Character'",User Interface Design
AVAX Wallet - Page Transitions,5165,792,"Comic Book', 'Product', 'Package'",Logo Design
Brainwave AI UI Kit - Add New List Modal,1381,1006,"Poster', 'Illustration', 'Magazine'",Brand Identity Design
Brainwave AI UI Kit - Add New List Modal,8538,274,"Social Media', 'Poster', 'Product', 'Branding', 'Motion Graphics', 'UI/UX', 'Typography'",Product Label Design
Medical service - Mobile app,934,602,"Animation', 'Motion Graphics', 'Package', 'Logo', 'Magazine', 'Social Media', 'UI/UX'",Motion Graphics
Logo Update for Web3 Platform (Unused for Sale),5691,1092,"Motion Graphics', 'Social Media', 'Web Design'",UI/UX Design
Letter.co Branding,8443,804,"Motion Graphics', 'Social Media', 'Magazine', 'Poster'",Product Label Design
